序号,城市,时间,AQI指数,空气质量级别,首要污染物
1,北京市,2014-04-25 00:00,190,中度污染,PM2.5
2,天津市,2014-04-25 00:00,102,轻度污染,PM10
3,石家庄市,2014-04-25 00:00,124,轻度污染,PM2.5
4,唐山市,2014-04-25 00:00,79,良,PM10
5,秦皇岛市,2014-04-25 00:00,63,良,PM10
6,邯郸市,2014-04-25 00:00,135,轻度污染,PM2.5
7,邢台市,2014-04-25 00:00,144,轻度污染,PM10
8,保定市,2014-04-25 00:00,109,轻度污染,PM2.5
9,承德市,2014-04-25 00:00,129,轻度污染,PM2.5
10,沧州市,2014-04-25 00:00,125,轻度污染,PM2.5
11,廊坊市,2014-04-25 00:00,152,中度污染,PM2.5
12,衡水市,2014-04-25 00:00,130,轻度污染,PM2.5
13,张家口市,2014-04-25 00:00,96,良,PM10
14,太原市,2014-04-25 00:00,113,轻度污染,PM2.5
15,大同市,2014-04-25 00:00,500,严重污染,PM10
16,阳泉市,2014-04-25 00:00,94,良,PM2.5
17,长治市,2014-04-25 00:00,92,良,PM10
18,临汾市,2014-04-25 00:00,74,良,PM2.5
19,呼和浩特市,2014-04-25 00:00,500,严重污染,PM10
20,包头市,2014-04-25 00:00,128,轻度污染,PM10
21,赤峰市,2014-04-25 00:00,118,轻度污染,PM2.5
22,鄂尔多斯市,2014-04-25 00:00,75,良,PM10
23,沈阳市,2014-04-25 00:00,74,良,PM10
24,大连市,2014-04-25 00:00,62,良,PM10
25,鞍山市,2014-04-25 00:00,67,良,PM10
26,抚顺市,2014-04-25 00:00,58,良,PM10
27,本溪市,2014-04-25 00:00,53,良,PM10
28,丹东市,2014-04-25 00:00,127,轻度污染,PM2.5
29,锦州市,2014-04-25 00:00,64,良,PM10
30,营口市,2014-04-25 00:00,53,良,PM10
31,盘锦市,2014-04-25 00:00,65,良,PM10
32,葫芦岛市,2014-04-25 00:00,61,良,PM10
33,长春市,2014-04-25 00:00,94,良,PM10
34,吉林市,2014-04-25 00:00,69,良,PM2.5
35,哈尔滨市,2014-04-25 00:00,100,良,PM10
36,齐齐哈尔市,2014-04-25 00:00,102,轻度污染,PM10
37,大庆市,2014-04-25 00:00,375,严重污染,PM10
38,牡丹江市,2014-04-25 00:00,57,良,PM2.5
39,上海市,2014-04-25 00:00,55,良,PM2.5
40,南京市,2014-04-25 00:00,52,良,PM10
41,无锡市,2014-04-25 00:00,50,优,None
42,徐州市,2014-04-25 00:00,68,良,PM10
43,常州市,2014-04-25 00:00,49,优,None
44,苏州市,2014-04-25 00:00,55,良,PM2.5
45,南通市,2014-04-25 00:00,64,良,PM2.5
46,连云港市,2014-04-25 00:00,67,良,PM10
47,淮安市,2014-04-25 00:00,65,良,PM10,PM2.5
48,盐城市,2014-04-25 00:00,57,良,PM2.5
49,扬州市,2014-04-25 00:00,90,良,PM2.5
50,镇江市,2014-04-25 00:00,70,良,PM2.5
51,泰州市,2014-04-25 00:00,70,良,PM2.5
52,宿迁市,2014-04-25 00:00,57,良,PM10
53,杭州市,2014-04-25 00:00,69,良,PM2.5
54,宁波市,2014-04-25 00:00,29,优,None
55,温州市,2014-04-25 00:00,53,良,PM10
56,嘉兴市,2014-04-25 00:00,51,良,PM10
57,湖州市,2014-04-25 00:00,31,优,None
58,金华市,2014-04-25 00:00,65,良,PM2.5
59,衢州市,2014-04-25 00:00,50,优,None
60,舟山市,2014-04-25 00:00,32,优,None
61,台州市,2014-04-25 00:00,27,优,None
62,丽水市,2014-04-25 00:00,53,良,PM2.5
63,绍兴市,2014-04-25 00:00,62,良,PM10
64,合肥市,2014-04-25 00:00,83,良,PM2.5
65,芜湖市,2014-04-25 00:00,80,良,PM2.5
66,马鞍山市,2014-04-25 00:00,59,良,PM10
67,福州市,2014-04-25 00:00,29,优,None
68,厦门市,2014-04-25 00:00,52,良,PM2.5
69,泉州市,2014-04-25 00:00,60,良,PM10
70,南昌市,2014-04-25 00:00,43,优,None
71,九江市,2014-04-25 00:00,47,优,None
72,济南市,2014-04-25 00:00,91,良,PM10
73,青岛市,2014-04-25 00:00,78,良,PM10
74,淄博市,2014-04-25 00:00,69,良,PM10
75,枣庄市,2014-04-25 00:00,82,良,PM10
76,东营市,2014-04-25 00:00,76,良,PM10
77,烟台市,2014-04-25 00:00,53,良,PM10,PM2.5
78,潍坊市,2014-04-25 00:00,80,良,PM10
79,济宁市,2014-04-25 00:00,98,良,PM10
80,泰安市,2014-04-25 00:00,65,良,PM10
81,威海市,2014-04-25 00:00,54,良,PM10,PM2.5
82,日照市,2014-04-25 00:00,58,良,PM10
83,莱芜市,2014-04-25 00:00,72,良,PM10
84,临沂市,2014-04-25 00:00,77,良,PM10
85,德州市,2014-04-25 00:00,190,中度污染,PM2.5
86,聊城市,2014-04-25 00:00,125,轻度污染,PM2.5
87,滨州市,2014-04-25 00:00,73,良,PM10
88,菏泽市,2014-04-25 00:00,97,良,PM2.5
89,郑州市,2014-04-25 00:00,90,良,PM10
90,开封市,2014-04-25 00:00,93,良,PM2.5
91,洛阳市,2014-04-25 00:00,110,轻度污染,PM2.5
92,平顶山市,2014-04-25 00:00,94,良,PM2.5
93,安阳市,2014-04-25 00:00,114,轻度污染,PM2.5
94,焦作市,2014-04-25 00:00,83,良,PM10
95,三门峡市,2014-04-25 00:00,97,良,PM2.5
96,武汉市,2014-04-25 00:00,75,良,PM2.5
97,宜昌市,2014-04-25 00:00,149,轻度污染,PM2.5
98,荆州市,2014-04-25 00:00,90,良,PM2.5
99,长沙市,2014-04-25 00:00,53,良,PM2.5
100,株洲市,2014-04-25 00:00,40,优,None
101,湘潭市,2014-04-25 00:00,47,优,None
102,岳阳市,2014-04-25 00:00,80,良,PM10
103,常德市,2014-04-25 00:00,97,良,PM2.5
104,张家界市,2014-04-25 00:00,65,良,PM2.5
105,广州市,2014-04-25 00:00,77,良,PM2.5
106,韶关市,2014-04-25 00:00,70,良,PM2.5
107,深圳市,2014-04-25 00:00,49,优,None
108,珠海市,2014-04-25 00:00,48,优,None
109,汕头市,2014-04-25 00:00,46,优,None
110,佛山市,2014-04-25 00:00,51,良,PM10
111,江门市,2014-04-25 00:00,55,良,PM2.5
112,湛江市,2014-04-25 00:00,20,优,None
113,茂名市,2014-04-25 00:00,27,优,None
114,肇庆市,2014-04-25 00:00,80,良,PM2.5
115,惠州市,2014-04-25 00:00,70,良,PM2.5
116,梅州市,2014-04-25 00:00,75,良,PM10
117,汕尾市,2014-04-25 00:00,84,良,PM2.5
118,河源市,2014-04-25 00:00,90,良,PM2.5
119,阳江市,2014-04-25 00:00,38,优,None
120,清远市,2014-04-25 00:00,78,良,PM2.5
121,东莞市,2014-04-25 00:00,67,良,PM2.5
122,中山市,2014-04-25 00:00,60,良,PM2.5
123,潮州市,2014-04-25 00:00,107,轻度污染,PM2.5
124,揭阳市,2014-04-25 00:00,105,轻度污染,PM2.5
125,云浮市,2014-04-25 00:00,23,优,None
126,南宁市,2014-04-25 00:00,57,良,PM10
127,柳州市,2014-04-25 00:00,67,良,PM2.5
128,桂林市,2014-04-25 00:00,30,优,None
129,北海市,2014-04-25 00:00,34,优,None
130,海口市,2014-04-25 00:00,25,优,None
131,三亚市,2014-04-25 00:00,28,优,None
132,重庆市,2014-04-25 00:00,61,良,PM10
133,成都市,2014-04-25 00:00,103,轻度污染,PM2.5
134,自贡市,2014-04-25 00:00,80,良,PM10
135,攀枝花市,2014-04-25 00:00,133,轻度污染,PM2.5
136,泸州市,2014-04-25 00:00,108,轻度污染,PM2.5
137,德阳市,2014-04-25 00:00,65,良,PM2.5
138,绵阳市,2014-04-25 00:00,68,良,PM2.5
139,南充市,2014-04-25 00:00,78,良,PM2.5
140,宜宾市,2014-04-25 00:00,117,轻度污染,PM2.5
141,贵阳市,2014-04-25 00:00,44,优,None
142,遵义市,2014-04-25 00:00,58,良,PM10
143,昆明市,2014-04-25 00:00,108,轻度污染,PM2.5
144,曲靖市,2014-04-25 00:00,92,良,PM2.5
145,玉溪市,2014-04-25 00:00,102,轻度污染,PM2.5
146,拉萨市,2014-04-25 00:00,58,良,PM10
147,西安市,2014-04-25 00:00,85,良,PM10
148,铜川市,2014-04-25 00:00,99,良,PM2.5
149,宝鸡市,2014-04-25 00:00,500,严重污染,PM10
150,咸阳市,2014-04-25 00:00,160,中度污染,PM2.5
151,渭南市,2014-04-25 00:00,92,良,PM10
152,延安市,2014-04-25 00:00,500,严重污染,PM10
153,兰州市,2014-04-25 00:00,262,重度污染,PM10
154,嘉峪关市,2014-04-25 00:00,500,严重污染,PM10
155,金昌市,2014-04-25 00:00,500,严重污染,PM10
156,西宁市,2014-04-25 00:00,401,严重污染,PM10
157,银川市,2014-04-25 00:00,151,中度污染,PM10
158,石嘴山市,2014-04-25 00:00,195,中度污染,PM10
159,乌鲁木齐市,2014-04-25 00:00,119,轻度污染,PM10
160,克拉玛依市,2014-04-25 00:00,65,良,PM10
161,库尔勒市,2014-04-25 00:00,500,严重污染,PM10,PM2.5
162,北京市,2014-04-24 22:00,178,中度污染,PM2.5
163,天津市,2014-04-24 22:00,108,轻度污染,PM2.5
164,石家庄市,2014-04-24 22:00,125,轻度污染,PM2.5
165,唐山市,2014-04-24 22:00,111,轻度污染,PM10
166,秦皇岛市,2014-04-24 22:00,65,良,PM10
167,邯郸市,2014-04-24 22:00,128,轻度污染,PM2.5
168,邢台市,2014-04-24 22:00,133,轻度污染,PM10
169,保定市,2014-04-24 22:00,138,轻度污染,PM2.5
170,承德市,2014-04-24 22:00,113,轻度污染,PM2.5
171,沧州市,2014-04-24 22:00,107,轻度污染,PM2.5
172,廊坊市,2014-04-24 22:00,155,中度污染,PM2.5
173,衡水市,2014-04-24 22:00,119,轻度污染,PM10
174,张家口市,2014-04-24 22:00,94,良,PM10
175,太原市,2014-04-24 22:00,147,轻度污染,PM2.5
176,大同市,2014-04-24 22:00,86,良,PM10
177,阳泉市,2014-04-24 22:00,108,轻度污染,PM2.5
178,长治市,2014-04-24 22:00,85,良,PM10
179,临汾市,2014-04-24 22:00,83,良,PM2.5
180,呼和浩特市,2014-04-24 22:00,500,严重污染,PM10
181,包头市,2014-04-24 22:00,500,严重污染,PM10
182,赤峰市,2014-04-24 22:00,105,轻度污染,PM2.5
183,鄂尔多斯市,2014-04-24 22:00,467,严重污染,PM10
184,沈阳市,2014-04-24 22:00,82,良,PM10
